name,description,category,fraction,points,icon_url
To The Rescue!,Come to the defense of a base in Arathi Basin 50 times by recapping the flag.,Arathi Basin,,10,https://icons.wowdb.com/retail/medium/ability_warrior_victoryrush.jpg?41793
Me and the Cappin' Makin' it Happen,Take 50 flags in Arathi Basin.,Arathi Basin,,10,https://icons.wowdb.com/retail/medium/achievement_bg_takexflags_ab.jpg?41793
Let's Get This Done,Win Arathi Basin in 6 minutes.,Arathi Basin,,10,https://icons.wowdb.com/retail/medium/achievement_bg_winab_underxminutes.jpg?41793
Resilient Victory,Overcome a 500 resource disadvantage in a match of Arathi Basin and claim victory.,Arathi Basin,,10,https://icons.wowdb.com/retail/medium/achievement_bg_overcome500disadvantage.jpg?41793
We Had It All Along *cough*,Win Arathi Basin by 50 points or less.,Arathi Basin,,10,https://icons.wowdb.com/retail/medium/spell_shadow_improvedvampiricembrace.jpg?41793
Arathi Basin Perfection,Win Arathi Basin with a score of 1600 to 0.,Arathi Basin,,20,https://icons.wowdb.com/retail/medium/achievement_bg_abshutout.jpg?41793
Warsong Gulch Victory,Win Warsong Gulch.,Warsong Gulch,,10,https://icons.wowdb.com/retail/medium/achievement_bg_winwsg.jpg?41793
Warsong Gulch Veteran,Complete 100 victories in Warsong Gulch.,Warsong Gulch,,10,https://icons.wowdb.com/retail/medium/achievement_bg_win_wsg_x_times.jpg?41793
Warsong Gulch Perfection,Win Warsong Gulch with a score of 3 to 0.,Warsong Gulch,,10,https://icons.wowdb.com/retail/medium/achievement_bg_winwsg_3_0.jpg?41793
Capture the Flag,Personally carry and capture the flag in Warsong Gulch.,Warsong Gulch,,10,https://icons.wowdb.com/retail/medium/achievement_bg_captureflag_wsg.jpg?41793
Persistent Defender,Return 50 flags as a defender in Warsong Gulch.,Warsong Gulch,,10,https://icons.wowdb.com/retail/medium/achievement_bg_interruptx_flagcapture_attempts.jpg?41793
Warsong Expedience,Win Warsong Gulch in under 7 minutes.,Warsong Gulch,,10,https://icons.wowdb.com/retail/medium/achievement_bg_winwsg_underxminutes.jpg?41793
Quick Cap,Grab the flag and capture it in under 75 seconds.,Warsong Gulch,alliance,10,https://icons.wowdb.com/retail/medium/achievement_bg_grab_cap_flagunderxseconds.jpg?41793
Not In My House,"In a single Warsong Gulch battle, kill 2 flag carriers before they leave the Silverwing Flag Room.",Warsong Gulch,alliance,10,https://icons.wowdb.com/retail/medium/achievement_bg_killflagcarriers_grabflag_capit.jpg?41793
Ironman,"In a single Warsong Gulch battle, carry and capture the flag 3 times without dying.",Warsong Gulch,,10,https://icons.wowdb.com/retail/medium/achievement_bg_3flagcap_nodeaths.jpg?41793
Supreme Defender,Kill 100 flag carriers in Warsong Gulch.,Warsong Gulch,alliance,10,https://icons.wowdb.com/retail/medium/achievement_bg_kill_flag_carrierwsg.jpg?41793
Save the Day,"Kill the enemy who is carrying your flag in the opposing team's flag room while the opposing team's flag is at their base, within their control.",Warsong Gulch,,10,https://icons.wowdb.com/retail/medium/ability_rogue_surpriseattack.jpg?41793
Eye of the Storm Victory,Win Eye of the Storm.,Eye of the Storm,,10,https://icons.wowdb.com/retail/medium/achievement_bg_wineos.jpg?41793
Eye of the Storm Veteran,Complete 100 victories in Eye of the Storm.,Eye of the Storm,,10,https://icons.wowdb.com/retail/medium/achievement_bg_win_eos_x_times.jpg?41793
Storm Glory,"While your team holds 4 of the bases in Eye of the Storm, personally grab the flag and capture it.",Eye of the Storm,,10,https://icons.wowdb.com/retail/medium/achievement_bg_hld4bases_eos.jpg?41793
Storm Capper,Personally carry and capture the flag in Eye of the Storm.,Eye of the Storm,,10,https://icons.wowdb.com/retail/medium/achievement_bg_captureflag_eos.jpg?41793
Stormtrooper,Kill 5 flag carriers in a single Eye of the Storm battle.,Eye of the Storm,,10,https://icons.wowdb.com/retail/medium/achievement_bg_kill_flag_carriereos.jpg?41793
Flurry,Win Eye of the Storm in under 6 minutes.,Eye of the Storm,,10,https://icons.wowdb.com/retail/medium/achievement_bg_wineos_underxminutes.jpg?41793
Bound for Glory,"In a single Eye of the Storm match, capture the flag 3 times without dying.",Eye of the Storm,,10,https://icons.wowdb.com/retail/medium/spell_arcane_massdispel.jpg?41793
Alterac Valley Victory,Win Alterac Valley.,Alterac Valley,,10,https://icons.wowdb.com/retail/medium/achievement_bg_winav.jpg?41793
Alterac Valley Veteran,Complete 100 victories in Alterac Valley.,Alterac Valley,,10,https://icons.wowdb.com/retail/medium/achievement_bg_win_av_x_times.jpg?41793
Stormpike Perfection,Win Alterac Valley without losing a tower or captain. You must also control all of the Horde's towers.,Alterac Valley,alliance,20,https://icons.wowdb.com/retail/medium/inv_jewelry_stormpiketrinket_03.jpg?41793
Alterac Grave Robber,Take 50 graveyards in Alterac Valley.,Alterac Valley,,10,https://icons.wowdb.com/retail/medium/achievement_bg_xkills_avgraveyard.jpg?41793
Tower Defense,Defend 50 towers in Alterac Valley.,Alterac Valley,,10,https://icons.wowdb.com/retail/medium/achievement_bg_defendxtowers_av.jpg?41793
The Sickly Gazelle,"In Alterac Valley, kill an enemy in the Field of Strife before they dismount.",Alterac Valley,,10,https://icons.wowdb.com/retail/medium/achievement_bg_kill_on_mount.jpg?41793
Loyal Defender,"In Alterac Valley, kill 50 enemy players in the Hall of the Frostwolf.",Alterac Valley,horde,10,https://icons.wowdb.com/retail/medium/achievement_bg_killxenemies_generalsroom.jpg?41793
Everything Counts,Win Alterac Valley while your team controls both mines.,Alterac Valley,alliance,10,https://icons.wowdb.com/retail/medium/achievement_bg_winav_bothmines.jpg?41793
The Alterac Blitz,Win Alterac Valley in 6 minutes.,Alterac Valley,,20,https://icons.wowdb.com/retail/medium/achievement_bg_winav_underxminutes.jpg?41793
Damage Control,"Do 300,000 damage or healing in a single battle in any battleground. The damage or healing must be done to a player.",Player vs. Player,,10,https://icons.wowdb.com/retail/medium/achievement_bg_topdps.jpg?41793
The Grim Reaper,Get 30 Honorable Kills in a single battle in any battleground.,Player vs. Player,,10,https://icons.wowdb.com/retail/medium/spell_shadow_nethercloak.jpg?41793
Battlemaster,Complete the battleground achievements listed below.,Player vs. Player,alliance,50,https://icons.wowdb.com/retail/medium/achievement_pvp_a_15.jpg?41793
Wrecking Ball,Get 20 killing blows without dying in a single battle in any battleground.,Player vs. Player,,10,https://icons.wowdb.com/retail/medium/ability_warrior_trauma.jpg?41793
Bloodthirsty Berserker,Get a killing blow while under the effects of the berserker buff in Eye of the Storm.,Eye of the Storm,,10,https://icons.wowdb.com/retail/medium/spell_nature_bloodlust.jpg?41793
An Honorable Kill,Achieve an honorable kill.,Player vs. Player,,10,https://icons.wowdb.com/retail/medium/achievement_pvp_p_01.jpg?41793
25000 Honorable Kills,Get 25000 honorable kills.,Player vs. Player,,10,https://icons.wowdb.com/retail/medium/achievement_pvp_p_11.jpg?41793
That Takes Class,"Get an honorable, killing blow on one of each class.",Player vs. Player,,10,https://icons.wowdb.com/retail/medium/ability_cheapshot.jpg?41793
Know Thy Enemy,"Get an honorable, killing blow against all Horde races.",Player vs. Player,alliance,10,https://icons.wowdb.com/retail/medium/ability_gouge.jpg?41793
"Make Love, Not Warcraft",Emote /hug on a dead enemy before they release corpse.,Player vs. Player,,10,https://icons.wowdb.com/retail/medium/spell_brokenheart.jpg?41793
Sunday's Finest,Discover the White Tuxedo Shirt and Black Tuxedo Pants by opening Brightly Colored Eggs during the Noblegarden celebration.,Noblegarden,,10,https://icons.wowdb.com/retail/medium/inv_shirt_08.jpg?41793
Dressed for the Occasion,Discover an Elegant Dress by opening Brightly Colored Eggs during the Noblegarden celebration.,Noblegarden,,10,https://icons.wowdb.com/retail/medium/inv_chest_cloth_04.jpg?41793
With a Little Helper from My Friends,Earn 50 honorable kills as a Little Helper from the Winter Wondervolt machine.,Winter Veil,,10,https://icons.wowdb.com/retail/medium/achievement_worldevent_littlehelper.jpg?41793
Bring Me The Head of... Oh Wait,Kill the Headless Horseman.,Hallow's End,,10,https://icons.wowdb.com/retail/medium/inv_misc_food_59.jpg?41793
Scrooge,Throw a snowball at Baine Bloodhoof during the Feast of Winter Veil.,Winter Veil,horde,10,https://icons.wowdb.com/retail/medium/inv_ammo_snowball.jpg?41793
Charming,Create 12 Lovely Charm Bracelets.,Love is in the Air,,10,https://icons.wowdb.com/retail/medium/inv_jewelry_necklace_43.jpg?41793
Ice the Frost Lord,Slay Ahune in the Slave Pens.,Midsummer,,10,https://icons.wowdb.com/retail/medium/spell_frost_summonwaterelemental.jpg?41793
Burning Hot Pole Dance,Dance at the ribbon pole for 60 seconds while wearing completed Midsummer set.,Midsummer,,10,https://icons.wowdb.com/retail/medium/ability_mage_firestarter.jpg?41793
Torch Juggler,Juggle 40 torches in 15 seconds in Dalaran.,Midsummer,,10,https://icons.wowdb.com/retail/medium/inv_torch_thrown.jpg?41793
On Metzen!,Save Metzen the Reindeer.,Winter Veil,,10,https://icons.wowdb.com/retail/medium/achievement_worldevent_reindeer.jpg?41793
Veteran Nanny,"Acquire Egbert's Egg, Sleepy Willy, and Elekk Training Collar.",Children's Week,,50,https://icons.wowdb.com/retail/medium/inv_misc_toy_01.jpg?41793
'Tis the Season,"During the Feast of Winter Veil, wear 3 pieces of winter clothing and eat Graccu's Mince Meat Fruitcake.",Winter Veil,,10,https://icons.wowdb.com/retail/medium/inv_food_christmasfruitcake_01.jpg?41793
Simply Abominable,Complete the quest to retrieve Smokywood Pastures' stolen treats and receive a Smokywood Pastures' Thank You.,Winter Veil,,10,https://icons.wowdb.com/retail/medium/inv_helmet_68.jpg?41793
The Masquerade,Get transformed by the Hallowed Wands listed below.,Hallow's End,,10,https://icons.wowdb.com/retail/medium/achievement_halloween_ghost_01.jpg?41793
A Mask for All Occasions,Collect the 24 unique Masks listed below.,Hallow's End,,20,https://icons.wowdb.com/retail/medium/inv_mask_04.jpg?41793
Out With It,Eat so many Tricky Treats that you get an upset tummy.,Hallow's End,,10,https://icons.wowdb.com/retail/medium/spell_shadow_plaguecloud.jpg?41793
The Savior of Hallow's End,Complete one of the quests to save a village from the Headless Horseman.,Hallow's End,,10,https://icons.wowdb.com/retail/medium/achievement_halloween_bat_01.jpg?41793
Check Your Head,Use Weighted Jack-o'-Lanterns to put pumpkin heads on each of the races listed below.,Hallow's End,,10,https://icons.wowdb.com/retail/medium/inv_misc_bag_28_halloween.jpg?41793
Sinister Calling,Obtain a Sinister Squashling pet and Hallowed Helm through looting or Tricky Treats from the Hallow's end world events.,Hallow's End,,10,https://icons.wowdb.com/retail/medium/achievement_halloween_cat_01.jpg?41793
Disturbing the Peace,"While wearing 3 pieces of Brewfest clothing, get completely smashed and dance in Dalaran.",Brewfest,,10,https://icons.wowdb.com/retail/medium/inv_misc_beer_01.jpg?41793
Direbrewfest,Kill Coren Direbrew.,Brewfest,,10,https://icons.wowdb.com/retail/medium/inv_misc_head_dwarf_01.jpg?41793
"Have Keg, Will Travel","Obtain a Brewfest mount, or transform yours into one using Brewfest Hops.",Brewfest,,10,https://icons.wowdb.com/retail/medium/inv_cask_01.jpg?41793
Master Angler of Azeroth,Win the Booty Bay fishing contest.,Fishing,,20,https://icons.wowdb.com/retail/medium/inv_misc_fish_06.jpg?41793
City Defender,Kill 50 enemy players in any of your home cities.,Player vs. Player,alliance,10,https://icons.wowdb.com/retail/medium/achievement_pvp_a_a.jpg?41793
Gurubashi Arena Master,Loot the Arena Master trinket from the Gurubashi Arena.,Player vs. Player,,10,https://icons.wowdb.com/retail/medium/inv_misc_armorkit_14.jpg?41793
Gurubashi Arena Grand Master,Complete Short John Mithril's quest to obtain the Arena Grand Master trinket.,Player vs. Player,,10,https://icons.wowdb.com/retail/medium/inv_misc_armorkit_04.jpg?41793
Step Into The Arena,Win a ranked arena match.,Arena,,10,https://icons.wowdb.com/retail/medium/achievement_featsofstrength_gladiator_10.jpg?41793
Mercilessly Dedicated,Win 100 ranked arena matches.,Arena,,10,https://icons.wowdb.com/retail/medium/achievement_featsofstrength_gladiator_01.jpg?41793
Just the Two of Us: 1550,Earn a 1550 personal rating in the 2v2 bracket of the arena.,Arena,,10,https://icons.wowdb.com/retail/medium/achievement_arena_2v2_1.jpg?41793
Just the Two of Us: 1750,Earn a 1750 personal rating in the 2v2 bracket of the arena.,Arena,,10,https://icons.wowdb.com/retail/medium/achievement_arena_2v2_4.jpg?41793
Just the Two of Us: 2000,Earn a 2000 personal rating in the 2v2 bracket of the arena.,Arena,,10,https://icons.wowdb.com/retail/medium/achievement_arena_2v2_5.jpg?41793
Three's Company: 1550,Earn a 1550 personal rating in the 3v3 bracket of the arena.,Arena,,10,https://icons.wowdb.com/retail/medium/achievement_arena_3v3_1.jpg?41793
Three's Company: 1750,Earn a 1750 personal rating in the 3v3 bracket of the arena.,Arena,,10,https://icons.wowdb.com/retail/medium/achievement_arena_3v3_4.jpg?41793
High Five: 2000,Earn a 2000 personal rating in the 5v5 bracket of the arena.,Player vs. Player,,,https://icons.wowdb.com/retail/medium/achievement_arena_5v5_5.jpg?41793
Three's Company: 2000,Earn a 2000 personal rating in the 3v3 bracket of the arena.,Arena,,10,https://icons.wowdb.com/retail/medium/achievement_arena_3v3_5.jpg?41793
High Five: 1550,Earn a 1550 personal rating in the 5v5 bracket of the arena.,Player vs. Player,,,https://icons.wowdb.com/retail/medium/achievement_arena_5v5_1.jpg?41793
High Five: 1750,Earn a 1750 personal rating in the 5v5 bracket of the arena.,Player vs. Player,,,https://icons.wowdb.com/retail/medium/achievement_arena_5v5_4.jpg?41793
Hot Streak,Win ten ranked matches in a row.,Arena,,10,https://icons.wowdb.com/retail/medium/spell_fire_fire.jpg?41793
Last Man Standing,Be the sole survivor at the end of a ranked 5v5 match.,Player vs. Player,,,https://icons.wowdb.com/retail/medium/spell_holy_surgeoflight.jpg?41793
Murky,"Proud owner of Murky from the 2005 BlizzCon in Anaheim, California.",Promotions,,,https://icons.wowdb.com/retail/medium/inv_egg_03.jpg?41793
Murloc Costume,"Proud owner of the Murloc Costume from the 2007 BlizzCon in Anaheim, California.",Promotions,,,https://icons.wowdb.com/retail/medium/inv_misc_head_murloc_01.jpg?41793
Tyrael's Hilt,"Proud owner of Tyrael's Hilt from the 2008 World Wide Invitational in Paris, France.",Promotions,,,https://icons.wowdb.com/retail/medium/inv_sword_07.jpg?41793
Big Blizzard Bear,Proud owner of the Big Blizzard Bear from the 2008 BlizzCon.,Promotions,,,https://icons.wowdb.com/retail/medium/ability_mount_bigblizzardbear.jpg?41793
Scarab Lord,Opened the gates of Ahn'Qiraj.,Mounts,,,https://icons.wowdb.com/retail/medium/achievement_zone_silithus_01.jpg?41793
Merciless Gladiator,Achieved Merciless Gladiator title.,Player vs. Player,,,https://icons.wowdb.com/retail/medium/achievement_featsofstrength_gladiator_01.jpg?41793
Vengeful Gladiator,Achieved Vengeful Gladiator title.,Player vs. Player,,,https://icons.wowdb.com/retail/medium/achievement_featsofstrength_gladiator_02.jpg?41793
Brutal Gladiator,Achieved Brutal Gladiator title.,Player vs. Player,,,https://icons.wowdb.com/retail/medium/achievement_featsofstrength_gladiator_03.jpg?41793
Why? Because It's Red,Obtain a Red Qiraji Resonating Crystal.,Mounts,,,https://icons.wowdb.com/retail/medium/inv_misc_qirajicrystal_02.jpg?41793
"Atiesh, Greatstaff of the Guardian","Wielder of Atiesh, Greatstaff of the Guardian.",Raids,,,https://icons.wowdb.com/retail/medium/inv_staff_medivh.jpg?41793
Warglaives of Azzinoth,Wielder of a set of Warglaives of Azzinoth.,Raids,,,https://icons.wowdb.com/retail/medium/inv_weapon_glave_01.jpg?41793
"Thunderfury, Blessed Blade of the Windseeker","Wielder of Thunderfury, Blessed Blade of the Windseeker.",Raids,,,https://icons.wowdb.com/retail/medium/inv_sword_39.jpg?41793
"Sulfuras, Hand of Ragnaros","Wielder of Sulfuras, Hand of Ragnaros.",Raids,,,https://icons.wowdb.com/retail/medium/inv_hammer_unique_sulfuras.jpg?41793
Amani War Bear,Owner of Amani War Bear.,Mounts,,,https://icons.wowdb.com/retail/medium/ability_druid_challangingroar.jpg?41793
Hand of A'dal,"Earned the title, ""Hand of A'dal"".",Raids,,,https://icons.wowdb.com/retail/medium/inv_mace_25.jpg?41793
Champion of the Naaru,"Earned the title, ""Champion of the Naaru"".",Raids,,,https://icons.wowdb.com/retail/medium/inv_mace_51.jpg?41793
Grand Marshal,"Earned the title, ""Grand Marshal"" at level 60.",Player vs. Player,alliance,,https://icons.wowdb.com/retail/medium/achievement_pvp_a_14.jpg?41793
Field Marshal,"Earned the title, ""Field Marshal"" at level 60.",Player vs. Player,alliance,,https://icons.wowdb.com/retail/medium/achievement_pvp_a_13.jpg?41793
Commander,"Earned the title, ""Commander"" at level 60.",Player vs. Player,alliance,,https://icons.wowdb.com/retail/medium/achievement_pvp_a_11.jpg?41793
Lieutenant Commander,"Earned the title, ""Lieutenant Commander"" at level 60.",Player vs. Player,alliance,,https://icons.wowdb.com/retail/medium/achievement_pvp_a_10.jpg?41793
Knight-Champion,"Earned the title, ""Knight-Champion"" at level 60.",Player vs. Player,alliance,,https://icons.wowdb.com/retail/medium/achievement_pvp_a_09.jpg?41793
Knight-Captain,"Earned the title, ""Knight-Captain"" at level 60.",Player vs. Player,alliance,,https://icons.wowdb.com/retail/medium/achievement_pvp_a_08.jpg?41793
Knight,"Earned the title, ""Knight"" at level 60.",Player vs. Player,alliance,,https://icons.wowdb.com/retail/medium/achievement_pvp_a_06.jpg?41793
Sergeant Major,"Earned the title, ""Sergeant Major"" at level 60.",Player vs. Player,alliance,,https://icons.wowdb.com/retail/medium/achievement_pvp_a_05.jpg?41793
Master Sergeant,"Earned the title, ""Master Sergeant"" at level 60.",Player vs. Player,alliance,,https://icons.wowdb.com/retail/medium/achievement_pvp_a_04.jpg?41793
Private,"Earned the title, ""Private"" at level 60.",Player vs. Player,alliance,,https://icons.wowdb.com/retail/medium/achievement_pvp_a_01.jpg?41793
High Warlord,"Earned the title, ""High Warlord"" at level 60.",Player vs. Player,horde,,https://icons.wowdb.com/retail/medium/achievement_pvp_h_14.jpg?41793
Lieutenant General,"Earned the title, ""Lieutenant General"" at level 60.",Player vs. Player,horde,,https://icons.wowdb.com/retail/medium/achievement_pvp_h_11.jpg?41793
Warlord,"Earned the title, ""Warlord"" at level 60.",Player vs. Player,horde,,https://icons.wowdb.com/retail/medium/achievement_pvp_h_13.jpg?41793
General,"Earned the title, ""General"" at level 60.",Player vs. Player,horde,,https://icons.wowdb.com/retail/medium/achievement_pvp_h_12.jpg?41793
Champion,"Earned the title, ""Champion"" at level 60.",Player vs. Player,horde,,https://icons.wowdb.com/retail/medium/achievement_pvp_h_10.jpg?41793
Centurion,"Earned the title, ""Centurion"" at level 60.",Player vs. Player,horde,,https://icons.wowdb.com/retail/medium/achievement_pvp_h_09.jpg?41793
Blood Guard,"Earned the title, ""Blood Guard"" at level 60.",Player vs. Player,horde,,https://icons.wowdb.com/retail/medium/achievement_pvp_h_07.jpg?41793
Senior Sergeant,"Earned the title, ""Senior Sergeant"" at level 60.",Player vs. Player,horde,,https://icons.wowdb.com/retail/medium/achievement_pvp_h_04.jpg?41793
Stone Guard,"Earned the title, ""Stone Guard"" at level 60.",Player vs. Player,horde,,https://icons.wowdb.com/retail/medium/achievement_pvp_h_06.jpg?41793
First Sergeant,"Earned the title, ""First Sergeant"" at level 60.",Player vs. Player,horde,,https://icons.wowdb.com/retail/medium/achievement_pvp_h_05.jpg?41793
Sergeant,"Earned the title, ""Sergeant"" at level 60.",Player vs. Player,horde,,https://icons.wowdb.com/retail/medium/achievement_pvp_h_03.jpg?41793
Scout,"Earned the title, ""Scout"" at level 60.",Player vs. Player,horde,,https://icons.wowdb.com/retail/medium/achievement_pvp_h_01.jpg?41793
Realm First! Obsidian Slayer,Participated in the realm first defeat of Sartharion the Onyx Guardian in 25-player mode.,Feats of Strength,,,https://icons.wowdb.com/retail/medium/achievement_dungeon_coablackdragonflight_25man.jpg?41793
Realm First! Level 80,First person on the realm to achieve level 80.,Feats of Strength,,,https://icons.wowdb.com/retail/medium/achievement_level_80.jpg?41793
